OIB,First Name,Last Name,Address,City,Phone Number
12312421,Leonaa,Sedlanić,Trojstvena 5,Bjelovar,0976318587
322432312,Bobo,Snrad,bubuga babale 5,Borovo,098578329
1234,Leon,Sedlanić,Trojstvena 5,Bjelovar,0976318587
1234,Leon,Sedlanić,Trojstvena 5,Bjelovar,0976318587
1234,Leon,Sedlanić,Trojstvena 5,Bjelovar,0976318587
1234,Leon,Sedlanić,Trojstvena 6,Bjelovar,0976318587
1234,Leon,Sedlanić,Trojstvena 5,Bjelovar,0976318587
1234,Leon,Sedlanić,Trojstvena 5,Bjelovar,0976318587
1234,Leon,Sedlanić,Trojstvena 5,Bjelovar,0976318587
1234,Leon,Sedlanić,Trojstvena 5,Bjelovar,0976318587
1234,Leon,Sedlanić,Trojstvena 5,Bjelovar,0976318587
123,Leon,Sedlanić,Trojstvena 6,Bjelovar,0976318587
213214,Leon,Sedlanić,Trojstvena 6,Bjelovar,0976318587
